street_address,postal_code,latitude,longitude,link,page,num,address_locality,address_region,scrape_generated,link_new,is_same,property
5241 Stanton Ave,15201,40.478367,-79.94934,https://www.trulia.com/p/pa/pittsburgh/5241-stanton-ave-pittsburgh-pa-15201--2014036911,1,12,Pittsburgh,PA,5241 stanton ave pittsburgh pa 15201,5241 stanton ave pittsburgh pa 15201,1,0
5712 Wellesley Ave,15206,40.473312,-79.922905,https://www.trulia.com/p/pa/pittsburgh/5712-wellesley-ave-pittsburgh-pa-15206--2014067157,1,13,Pittsburgh,PA,5712 wellesley ave pittsburgh pa 15206,5712 wellesley ave pittsburgh pa 15206,1,0
5627 Wilkins Ave,15217,40.44427,-79.92677,https://www.trulia.com/p/pa/pittsburgh/5627-wilkins-ave-pittsburgh-pa-15217--2014151588,1,14,Pittsburgh,PA,5627 wilkins ave pittsburgh pa 15217,5627 wilkins ave pittsburgh pa 15217,1,0
160 Warwick Dr,15241,40.34735,-80.06668,https://www.trulia.com/p/pa/pittsburgh/160-warwick-dr-pittsburgh-pa-15241--2014301295,1,15,Pittsburgh,PA,160 warwick dr pittsburgh pa 15241,160 warwick dr pittsburgh pa 15241,1,0
126 Cobblestone Dr,15237,40.53989,-80.08762,https://www.trulia.com/p/pa/pittsburgh/126-cobblestone-dr-pittsburgh-pa-15237--2014269846,1,16,Pittsburgh,PA,126 cobblestone dr pittsburgh pa 15237,126 cobblestone dr pittsburgh pa 15237,1,0
5354 Cox Ave,15207,40.370403,-79.91841,https://www.trulia.com/p/pa/pittsburgh/5354-cox-ave-pittsburgh-pa-15207--2014076401,1,17,Pittsburgh,PA,5354 cox ave pittsburgh pa 15207,5354 cox ave pittsburgh pa 15207,1,0
541 Marie Ave,15202,40.503098,-80.06951,https://www.trulia.com/p/pa/pittsburgh/541-marie-ave-pittsburgh-pa-15202--2014041817,1,18,Pittsburgh,PA,541 marie ave pittsburgh pa 15202,541 marie ave pittsburgh pa 15202,1,0
51 N Bryant Ave,15202,40.494106,-80.04921,https://www.trulia.com/p/pa/pittsburgh/51-n-bryant-ave-pittsburgh-pa-15202--2089352150,1,19,Pittsburgh,PA,51 n bryant ave pittsburgh pa 15202,51 n bryant ave pittsburgh pa 15202,1,0
255 Church Rd,15241,40.33805,-80.046875,https://www.trulia.com/p/pa/pittsburgh/255-church-rd-pittsburgh-pa-15241--2014304347,1,20,Pittsburgh,PA,255 church rd pittsburgh pa 15241,255 church rd pittsburgh pa 15241,1,0
171 Shadow Ridge Dr,15238,40.526722,-79.85365,https://www.trulia.com/p/pa/pittsburgh/171-shadow-ridge-dr-pittsburgh-pa-15238--2014286254,1,21,Pittsburgh,PA,171 shadow ridge dr pittsburgh pa 15238,171 shadow ridge dr pittsburgh pa 15238,1,0
304 Bigham St,15211,40.432846,-80.015434,https://www.trulia.com/p/pa/pittsburgh/304-bigham-st-pittsburgh-pa-15211--2014103918,1,22,Pittsburgh,PA,304 bigham st pittsburgh pa 15211,304 bigham st pittsburgh pa 15211,1,0
1213 Vinemont St,15205,40.433147,-80.04664,https://www.trulia.com/p/pa/pittsburgh/1213-vinemont-st-pittsburgh-pa-15205--2014052836,1,23,Pittsburgh,PA,1213 vinemont st pittsburgh pa 15205,1213 vinemont st pittsburgh pa 15205,1,0
1416 Evergreen Ave,15209,40.496807,-79.97636,https://www.trulia.com/p/pa/pittsburgh/1416-evergreen-ave-pittsburgh-pa-15209--2014085042,1,24,Pittsburgh,PA,1416 evergreen ave pittsburgh pa 15209,1416 evergreen ave pittsburgh pa 15209,1,0
334 Benson Cir,15227,40.364307,-79.95954,https://www.trulia.com/p/pa/pittsburgh/334-benson-cir-pittsburgh-pa-15227--2014211622,1,25,Pittsburgh,PA,334 benson cir pittsburgh pa 15227,334 benson cir pittsburgh pa 15227,1,0
501 Cherry Ct,15237,40.5444,-80.021484,https://www.trulia.com/p/pa/pittsburgh/501-cherry-ct-pittsburgh-pa-15237--1022839035,1,26,Pittsburgh,PA,501 cherry ct pittsburgh pa 15237,501 cherry ct pittsburgh pa 15237,1,0
906 Gladys Ave,15216,40.421234,-80.02383,https://www.trulia.com/p/pa/pittsburgh/906-gladys-ave-pittsburgh-pa-15216--2014145757,1,27,Pittsburgh,PA,906 gladys ave pittsburgh pa 15216,906 gladys ave pittsburgh pa 15216,1,0
774 Country Club Dr,15228,40.37953,-80.028244,https://www.trulia.com/p/pa/pittsburgh/774-country-club-dr-pittsburgh-pa-15228--2014222021,1,28,Pittsburgh,PA,774 country club dr pittsburgh pa 15228,774 country club dr pittsburgh pa 15228,1,0
11316 Frankstown Rd,15235,40.466927,-79.833626,https://www.trulia.com/p/pa/pittsburgh/11316-frankstown-rd-pittsburgh-pa-15235--2014240025,1,29,Pittsburgh,PA,11316 frankstown rd pittsburgh pa 15235,11316 frankstown rd pittsburgh pa 15235,1,0
2831 Wenger St,15227,40.392197,-79.97157,https://www.trulia.com/p/pa/pittsburgh/2831-wenger-st-pittsburgh-pa-15227--1117908844,2,0,Pittsburgh,PA,2831 wenger st pittsburgh pa 15227,2831 wenger st pittsburgh pa 15227,1,0
258 The Pines Dr,15243,40.37077,-80.0885,https://www.trulia.com/p/pa/pittsburgh/258-the-pines-dr-pittsburgh-pa-15243--2014309094,2,1,Pittsburgh,PA,258 the pines dr pittsburgh pa 15243,258 the pines dr pittsburgh pa 15243,1,0
1807 Worcester Dr,15243,40.367886,-80.08151,https://www.trulia.com/p/pa/pittsburgh/1807-worcester-dr-pittsburgh-pa-15243--2014308601,2,2,Pittsburgh,PA,1807 worcester dr pittsburgh pa 15243,1807 worcester dr pittsburgh pa 15243,1,0
227 Seegar Rd,15241,40.351616,-80.07294,https://www.trulia.com/p/pa/pittsburgh/227-seegar-rd-pittsburgh-pa-15241--2014303112,2,3,Pittsburgh,PA,227 seegar rd pittsburgh pa 15241,227 seegar rd pittsburgh pa 15241,1,0
488 Seavey Rd,15209,40.497032,-79.96098,https://www.trulia.com/p/pa/pittsburgh/488-seavey-rd-pittsburgh-pa-15209--2014087636,2,4,Pittsburgh,PA,488 seavey rd pittsburgh pa 15209,488 seavey rd pittsburgh pa 15209,1,0
2160 Greentree Rd #800W,15220,40.39235,-80.07122,https://www.trulia.com/p/pa/pittsburgh/2160-greentree-rd-800w-pittsburgh-pa-15220--2014171849,2,5,Pittsburgh,PA,2160 greentree rd 800w pittsburgh pa 15220,2160 greentree rd 800w pittsburgh pa 15220,1,0
5427 Kentucky Ave,15232,40.44958,-79.93363,https://www.trulia.com/p/pa/pittsburgh/5427-kentucky-ave-pittsburgh-pa-15232--2014229251,2,6,Pittsburgh,PA,5427 kentucky ave pittsburgh pa 15232,5427 kentucky ave pittsburgh pa 15232,1,0
3289 Dawson St #3,15213,40.432655,-79.9538,https://www.trulia.com/p/pa/pittsburgh/3289-dawson-st-3-pittsburgh-pa-15213--2014121861,2,7,Pittsburgh,PA,3289 dawson st 3 pittsburgh pa 15213,3289 dawson st 3 pittsburgh pa 15213,1,0
23 S 18th St,15203,40.431053,-79.980095,https://www.trulia.com/p/pa/pittsburgh/23-s-18th-st-pittsburgh-pa-15203--2089353164,2,8,Pittsburgh,PA,23 s 18th st pittsburgh pa 15203,23 s 18th st pittsburgh pa 15203,1,0
409 W Hutchinson Ave,15218,40.433254,-79.892456,https://www.trulia.com/p/pa/pittsburgh/409-w-hutchinson-ave-pittsburgh-pa-15218--1118666263,2,9,Pittsburgh,PA,409 w hutchinson ave pittsburgh pa 15218,409 w hutchinson ave pittsburgh pa 15218,1,0
500 Fairview Rd,15238,40.540646,-79.88731,https://www.trulia.com/p/pa/pittsburgh/500-fairview-rd-pittsburgh-pa-15238--2014288827,2,10,Pittsburgh,PA,500 fairview rd pittsburgh pa 15238,500 fairview rd pittsburgh pa 15238,1,0
416 Fox Dr,15237,40.519638,-79.99965,https://www.trulia.com/p/pa/pittsburgh/416-fox-dr-pittsburgh-pa-15237--2014277828,2,11,Pittsburgh,PA,416 fox dr pittsburgh pa 15237,416 fox dr pittsburgh pa 15237,1,0
2250 Mary St #208,15203,40.42546,-79.97412,https://www.trulia.com/p/pa/pittsburgh/2250-mary-st-208-pittsburgh-pa-15203--2014045577,2,12,Pittsburgh,PA,2250 mary st 208 pittsburgh pa 15203,2250 mary st 208 pittsburgh pa 15203,1,0
749 Florida Ave,15228,40.378517,-80.04671,https://www.trulia.com/p/pa/pittsburgh/749-florida-ave-pittsburgh-pa-15228--1005299099,2,13,Pittsburgh,PA,749 florida ave pittsburgh pa 15228,749 florida ave pittsburgh pa 15228,1,0
209 Crescent Garden Dr,15235,40.471256,-79.80622,https://www.trulia.com/p/pa/pittsburgh/209-crescent-garden-dr-pittsburgh-pa-15235--2270428665,2,14,Pittsburgh,PA,209 crescent garden dr pittsburgh pa 15235,209 crescent garden dr pittsburgh pa 15235,1,0
429 South Ave,15221,40.44342,-79.88891,https://www.trulia.com/p/pa/pittsburgh/429-south-ave-pittsburgh-pa-15221--1005647816,2,15,Pittsburgh,PA,429 south ave pittsburgh pa 15221,429 south ave pittsburgh pa 15221,1,0
121 Teton Dr,15239,40.450703,-79.70655,https://www.trulia.com/p/pa/pittsburgh/121-teton-dr-pittsburgh-pa-15239--2014291214,2,16,Pittsburgh,PA,121 teton dr pittsburgh pa 15239,121 teton dr pittsburgh pa 15239,1,0
483 Olive St,15237,40.573708,-80.0453,https://www.trulia.com/p/pa/pittsburgh/483-olive-st-pittsburgh-pa-15237--2014278418,2,17,Pittsburgh,PA,483 olive st pittsburgh pa 15237,483 olive st pittsburgh pa 15237,1,0
8918 Oneida Ave,15237,40.56777,-80.048096,https://www.trulia.com/p/pa/pittsburgh/8918-oneida-ave-pittsburgh-pa-15237--2014282547,2,18,Pittsburgh,PA,8918 oneida ave pittsburgh pa 15237,8918 oneida ave pittsburgh pa 15237,1,0
1030 Anderson Rd,15209,40.50456,-79.97548,https://www.trulia.com/p/pa/pittsburgh/1030-anderson-rd-pittsburgh-pa-15209--2014083544,2,19,Pittsburgh,PA,1030 anderson rd pittsburgh pa 15209,1030 anderson rd pittsburgh pa 15209,1,0
333 S Home Ave,15202,40.498215,-80.062355,https://www.trulia.com/p/pa/pittsburgh/333-s-home-ave-pittsburgh-pa-15202--2089351898,2,20,Pittsburgh,PA,333 s home ave pittsburgh pa 15202,333 s home ave pittsburgh pa 15202,1,0
801 Sebring Ave,15216,40.412884,-80.02312,https://www.trulia.com/p/pa/pittsburgh/801-sebring-ave-pittsburgh-pa-15216--1119978503,2,21,Pittsburgh,PA,801 sebring ave pittsburgh pa 15216,801 sebring ave pittsburgh pa 15216,1,0
300 57th St,15201,40.48291,-79.94428,https://www.trulia.com/p/pa/pittsburgh/300-57th-st-pittsburgh-pa-15201--2014033685,2,22,Pittsburgh,PA,300 57th st pittsburgh pa 15201,300 57th st pittsburgh pa 15201,1,0
710 Robin Dr,15220,40.395008,-80.07586,https://www.trulia.com/p/pa/pittsburgh/710-robin-dr-pittsburgh-pa-15220--2014174277,2,23,Pittsburgh,PA,710 robin dr pittsburgh pa 15220,710 robin dr pittsburgh pa 15220,1,0
144 45th St,15201,40.47326,-79.961235,https://www.trulia.com/p/pa/pittsburgh/144-45th-st-pittsburgh-pa-15201--2014032410,2,24,Pittsburgh,PA,144 45th st pittsburgh pa 15201,144 45th st pittsburgh pa 15201,1,0
4006 Murray Ave,15217,40.426052,-79.928085,https://www.trulia.com/p/pa/pittsburgh/4006-murray-ave-pittsburgh-pa-15217--1118600929,2,25,Pittsburgh,PA,4006 murray ave pittsburgh pa 15217,4006 murray ave pittsburgh pa 15217,1,0
3431 Evergreen Rd,15237,40.53994,-80.02386,https://www.trulia.com/p/pa/pittsburgh/3431-evergreen-rd-pittsburgh-pa-15237--2014277118,2,26,Pittsburgh,PA,3431 evergreen rd pittsburgh pa 15237,3431 evergreen rd pittsburgh pa 15237,1,0
5 Wellington Woods Dr,15229,40.526024,-80.03527,https://www.trulia.com/p/pa/pittsburgh/5-wellington-woods-dr-pittsburgh-pa-15229--2014227525,2,27,Pittsburgh,PA,5 wellington woods dr pittsburgh pa 15229,5 wellington woods dr pittsburgh pa 15229,1,0
2103 Hazeltine Way,15218,40.418396,-79.88738,https://www.trulia.com/p/pa/pittsburgh/2103-hazeltine-way-pittsburgh-pa-15218--2014157507,2,28,Pittsburgh,PA,2103 hazeltine way pittsburgh pa 15218,2103 hazeltine way pittsburgh pa 15218,1,0
38 Greenlee Rd,15227,40.380646,-79.97756,https://www.trulia.com/p/pa/pittsburgh/38-greenlee-rd-pittsburgh-pa-15227--2014212867,2,29,Pittsburgh,PA,38 greenlee rd pittsburgh pa 15227,38 greenlee rd pittsburgh pa 15227,1,0
210 Natchez St,15211,40.429325,-80.00984,https://www.trulia.com/p/pa/pittsburgh/210-natchez-st-pittsburgh-pa-15211--2014103029,3,0,Pittsburgh,PA,210 natchez st pittsburgh pa 15211,210 natchez st pittsburgh pa 15211,1,0
1118 Freyburg St,15203,40.42647,-79.98671,https://www.trulia.com/p/pa/pittsburgh/1118-freyburg-st-pittsburgh-pa-15203--2014044280,3,1,Pittsburgh,PA,1118 freyburg st pittsburgh pa 15203,1118 freyburg st pittsburgh pa 15203,1,0
1024 Evergreen Dr,15235,40.454323,-79.810646,https://www.trulia.com/p/pa/pittsburgh/1024-evergreen-dr-pittsburgh-pa-15235--1010193393,3,2,Pittsburgh,PA,1024 evergreen dr pittsburgh pa 15235,1024 evergreen dr pittsburgh pa 15235,1,0
5302 Holmes St,15201,40.480453,-79.9499,https://www.trulia.com/p/pa/pittsburgh/5302-holmes-st-pittsburgh-pa-15201--2014037090,3,3,Pittsburgh,PA,5302 holmes st pittsburgh pa 15201,5302 holmes st pittsburgh pa 15201,1,0
1031 Firwood Dr,15243,40.37541,-80.067024,https://www.trulia.com/p/pa/pittsburgh/1031-firwood-dr-pittsburgh-pa-15243--1140194541,3,4,Pittsburgh,PA,1031 firwood dr pittsburgh pa 15243,1031 firwood dr pittsburgh pa 15243,1,0
442 N School St,15202,40.502224,-80.06629,https://www.trulia.com/p/pa/pittsburgh/442-n-school-st-pittsburgh-pa-15202--2089352087,3,5,Pittsburgh,PA,442 n school st pittsburgh pa 15202,442 n school st pittsburgh pa 15202,1,0
5840 Douglas St,15217,40.432808,-79.921486,https://www.trulia.com/p/pa/pittsburgh/5840-douglas-st-pittsburgh-pa-15217--2014152435,3,6,Pittsburgh,PA,5840 douglas st pittsburgh pa 15217,5840 douglas st pittsburgh pa 15217,1,0
1204 Star Ridge Dr,15241,40.340492,-80.10434,https://www.trulia.com/p/pa/pittsburgh/1204-star-ridge-dr-pittsburgh-pa-15241--1142837978,3,7,Pittsburgh,PA,1204 star ridge dr pittsburgh pa 15241,1204 star ridge dr pittsburgh pa 15241,1,0
3534 Frazier St,15213,40.43078,-79.9558,https://www.trulia.com/p/pa/pittsburgh/3534-frazier-st-pittsburgh-pa-15213--2014122728,3,8,Pittsburgh,PA,3534 frazier st pittsburgh pa 15213,3534 frazier st pittsburgh pa 15213,1,0
1427 Adams St,15233,40.458237,-80.02871,https://www.trulia.com/p/pa/pittsburgh/1427-adams-st-pittsburgh-pa-15233--2014231780,3,9,Pittsburgh,PA,1427 adams st pittsburgh pa 15233,1427 adams st pittsburgh pa 15233,1,0
3061 Grassmere Ave,15216,40.396713,-80.041824,https://www.trulia.com/p/pa/pittsburgh/3061-grassmere-ave-pittsburgh-pa-15216--2014144136,3,10,Pittsburgh,PA,3061 grassmere ave pittsburgh pa 15216,3061 grassmere ave pittsburgh pa 15216,1,0
113 Spring Grove Rd,15235,40.47392,-79.823975,https://www.trulia.com/p/pa/pittsburgh/113-spring-grove-rd-pittsburgh-pa-15235--1137227036,3,11,Pittsburgh,PA,113 spring grove rd pittsburgh pa 15235,113 spring grove rd pittsburgh pa 15235,1,0
1236 Clairhaven St,15205,40.43946,-80.05336,https://www.trulia.com/p/pa/pittsburgh/1236-clairhaven-st-pittsburgh-pa-15205--1028339732,3,12,Pittsburgh,PA,1236 clairhaven st pittsburgh pa 15205,1236 clairhaven st pittsburgh pa 15205,1,0
5210 Dearborn St,15224,40.465137,-79.93931,https://www.trulia.com/p/pa/pittsburgh/5210-dearborn-st-pittsburgh-pa-15224--2014197815,3,13,Pittsburgh,PA,5210 dearborn st pittsburgh pa 15224,5210 dearborn st pittsburgh pa 15224,1,0
5270 Holmes St,15201,40.48022,-79.95029,https://www.trulia.com/p/pa/pittsburgh/5270-holmes-st-pittsburgh-pa-15201--2014037053,3,14,Pittsburgh,PA,5270 holmes st pittsburgh pa 15201,5270 holmes st pittsburgh pa 15201,1,0
1831 Fallowfield Ave,15216,40.406555,-80.023254,https://www.trulia.com/p/pa/pittsburgh/1831-fallowfield-ave-pittsburgh-pa-15216--2014141329,3,15,Pittsburgh,PA,1831 fallowfield ave pittsburgh pa 15216,1831 fallowfield ave pittsburgh pa 15216,1,0
820 N Euclid Ave,15206,40.470886,-79.922424,https://www.trulia.com/p/pa/pittsburgh/820-n-euclid-ave-pittsburgh-pa-15206--2089356309,3,16,Pittsburgh,PA,820 n euclid ave pittsburgh pa 15206,820 n euclid ave pittsburgh pa 15206,1,0
144 N Dithridge St #808,15213,40.44795,-79.95084,https://www.trulia.com/p/pa/pittsburgh/144-n-dithridge-st-808-pittsburgh-pa-15213--2089359472,3,17,Pittsburgh,PA,144 n dithridge st 808 pittsburgh pa 15213,144 n dithridge st 808 pittsburgh pa 15213,1,0
1536 Colwell St #6,15219,40.438957,-79.984215,https://www.trulia.com/p/pa/pittsburgh/1536-colwell-st-6-pittsburgh-pa-15219--2014161658,3,18,Pittsburgh,PA,1536 colwell st 6 pittsburgh pa 15219,1536 colwell st 6 pittsburgh pa 15219,1,0
2085 Pioneer Ave,15226,40.400944,-80.01861,https://www.trulia.com/p/pa/pittsburgh/2085-pioneer-ave-pittsburgh-pa-15226--2014201485,3,19,Pittsburgh,PA,2085 pioneer ave pittsburgh pa 15226,2085 pioneer ave pittsburgh pa 15226,1,0
3327 Comanche Rd,15241,40.33665,-80.0646,https://www.trulia.com/p/pa/pittsburgh/3327-comanche-rd-pittsburgh-pa-15241--1005663551,3,20,Pittsburgh,PA,3327 comanche rd pittsburgh pa 15241,3327 comanche rd pittsburgh pa 15241,1,0
5010 Friendship Ave,15224,40.46219,-79.94403,https://www.trulia.com/p/pa/pittsburgh/5010-friendship-ave-pittsburgh-pa-15224--2014197100,3,21,Pittsburgh,PA,5010 friendship ave pittsburgh pa 15224,5010 friendship ave pittsburgh pa 15224,1,0
1443 Nixon St,15233,40.459057,-80.02965,https://www.trulia.com/p/pa/pittsburgh/1443-nixon-st-pittsburgh-pa-15233--2014231877,3,22,Pittsburgh,PA,1443 nixon st pittsburgh pa 15233,1443 nixon st pittsburgh pa 15233,1,0
3326 Delaware St,15214,40.48104,-80.01084,https://www.trulia.com/p/pa/pittsburgh/3326-delaware-st-pittsburgh-pa-15214--2014128651,3,23,Pittsburgh,PA,3326 delaware st pittsburgh pa 15214,3326 delaware st pittsburgh pa 15214,1,0
4107 Cloverlea St,15227,40.364746,-79.98043,https://www.trulia.com/p/pa/pittsburgh/4107-cloverlea-st-pittsburgh-pa-15227--1118682187,3,24,Pittsburgh,PA,4107 cloverlea st pittsburgh pa 15227,4107 cloverlea st pittsburgh pa 15227,1,0
2117 Columbia Ave,15218,40.423626,-79.88221,https://www.trulia.com/p/pa/pittsburgh/2117-columbia-ave-pittsburgh-pa-15218--1117310543,3,25,Pittsburgh,PA,2117 columbia ave pittsburgh pa 15218,2117 columbia ave pittsburgh pa 15218,1,0
6307 Caton St,15217,40.42405,-79.9236,https://www.trulia.com/p/pa/pittsburgh/6307-caton-st-pittsburgh-pa-15217--1006266379,3,26,Pittsburgh,PA,6307 caton st pittsburgh pa 15217,6307 caton st pittsburgh pa 15217,1,0
625 Maplewood Ct,15237,40.5147,-79.989075,https://www.trulia.com/p/pa/pittsburgh/625-maplewood-ct-pittsburgh-pa-15237--1119551868,3,27,Pittsburgh,PA,625 maplewood ct pittsburgh pa 15237,625 maplewood ct pittsburgh pa 15237,1,0
103 Jamestown Dr #B,15216,40.39314,-80.056114,https://www.trulia.com/p/pa/pittsburgh/103-jamestown-dr-b-pittsburgh-pa-15216--2014136908,3,28,Pittsburgh,PA,103 jamestown dr b pittsburgh pa 15216,103 jamestown dr b pittsburgh pa 15216,1,0
609 Arden Ln,15243,40.387432,-80.05558,https://www.trulia.com/p/pa/pittsburgh/609-arden-ln-pittsburgh-pa-15243--2014310292,3,29,Pittsburgh,PA,609 arden ln pittsburgh pa 15243,609 arden ln pittsburgh pa 15243,1,0
4405 Schenley Farms Ter,15213,40.45119,-79.9552,https://www.trulia.com/p/pa/pittsburgh/4405-schenley-farms-ter-pittsburgh-pa-15213--2014123708,4,0,Pittsburgh,PA,4405 schenley farms ter pittsburgh pa 15213,4405 schenley farms ter pittsburgh pa 15213,1,0
23 Watson Blvd,15214,40.478523,-80.010765,https://www.trulia.com/p/pa/pittsburgh/23-watson-blvd-pittsburgh-pa-15214--1002858001,4,1,Pittsburgh,PA,23 watson blvd pittsburgh pa 15214,23 watson blvd pittsburgh pa 15214,1,0
5118 Natrona Way,15201,40.477943,-79.95399,https://www.trulia.com/p/pa/pittsburgh/5118-natrona-way-pittsburgh-pa-15201--1013453370,4,2,Pittsburgh,PA,5118 natrona way pittsburgh pa 15201,5118 natrona way pittsburgh pa 15201,1,0
3109 Hebron Dr,15235,40.460262,-79.851364,https://www.trulia.com/p/pa/pittsburgh/3109-hebron-dr-pittsburgh-pa-15235--2014248127,4,3,Pittsburgh,PA,3109 hebron dr pittsburgh pa 15235,3109 hebron dr pittsburgh pa 15235,1,0
612 Edgewood Rd,15221,40.425797,-79.86914,https://www.trulia.com/p/pa/pittsburgh/612-edgewood-rd-pittsburgh-pa-15221--2014185897,4,4,Pittsburgh,PA,612 edgewood rd pittsburgh pa 15221,612 edgewood rd pittsburgh pa 15221,1,0
2743 Philadelphia Ave,15216,40.401367,-80.037605,https://www.trulia.com/p/pa/pittsburgh/2743-philadelphia-ave-pittsburgh-pa-15216--2014143317,4,5,Pittsburgh,PA,2743 philadelphia ave pittsburgh pa 15216,2743 philadelphia ave pittsburgh pa 15216,1,0
2297 Sidgefield Ln,15241,40.33843,-80.08585,https://www.trulia.com/p/pa/pittsburgh/2297-sidgefield-ln-pittsburgh-pa-15241--2014303160,4,6,Pittsburgh,PA,2297 sidgefield ln pittsburgh pa 15241,2297 sidgefield ln pittsburgh pa 15241,1,0
299 N Balph Ave,15202,40.50363,-80.050476,https://www.trulia.com/p/pa/pittsburgh/299-n-balph-ave-pittsburgh-pa-15202--2089351812,4,7,Pittsburgh,PA,299 n balph ave pittsburgh pa 15202,299 n balph ave pittsburgh pa 15202,1,0
818 Florence Ave,15202,40.498314,-80.06651,https://www.trulia.com/p/pa/pittsburgh/818-florence-ave-pittsburgh-pa-15202--1008821681,4,8,Pittsburgh,PA,818 florence ave pittsburgh pa 15202,818 florence ave pittsburgh pa 15202,1,0
148 Riding Trail Ln,15215,40.517258,-79.90106,https://www.trulia.com/p/pa/pittsburgh/148-riding-trail-ln-pittsburgh-pa-15215--2014132964,4,9,Pittsburgh,PA,148 riding trail ln pittsburgh pa 15215,148 riding trail ln pittsburgh pa 15215,1,0
190 Mohawk Dr,15228,40.359188,-80.05176,https://www.trulia.com/p/pa/pittsburgh/190-mohawk-dr-pittsburgh-pa-15228--2014217847,4,10,Pittsburgh,PA,190 mohawk dr pittsburgh pa 15228,190 mohawk dr pittsburgh pa 15228,1,0
435 Ruxton St,15211,40.425175,-79.99946,https://www.trulia.com/p/pa/pittsburgh/435-ruxton-st-pittsburgh-pa-15211--1118823543,4,11,Pittsburgh,PA,435 ruxton st pittsburgh pa 15211,435 ruxton st pittsburgh pa 15211,1,0
229 Princeton Ave,15229,40.51838,-80.04616,https://www.trulia.com/p/pa/pittsburgh/229-princeton-ave-pittsburgh-pa-15229--2014225781,4,12,Pittsburgh,PA,229 princeton ave pittsburgh pa 15229,229 princeton ave pittsburgh pa 15229,1,0
347 Fisk St,15201,40.466236,-79.95725,https://www.trulia.com/p/pa/pittsburgh/347-fisk-st-pittsburgh-pa-15201--2014034314,4,13,Pittsburgh,PA,347 fisk st pittsburgh pa 15201,347 fisk st pittsburgh pa 15201,1,0
